article_id,citation
110,"Lalonde L, Quintana-Bárcena P, Lord A, Bell R, Clément V, Daigneault A, et al. Community Pharmacist Training-and-Communication Network and Drug-Related Problems in Patients With CKD: a Multicenter, Cluster-Randomized, Controlled Trial. American journal of kidney diseases. 2017;70: 386‐396. doi:10.1053/j.ajkd.2017.05.008"
111,"Lambert-Kerzner A, Del Giacco EJ, Fahdi IE, Bryson CL, Melnyk SD, Bosworth HB, et al. Patient-centered adherence intervention after acute coronary syndrome hospitalization. Circ Cardiovasc Qual Outcomes. 2012;5: 571–576. doi:10.1161/CIRCOUTCOMES.111.962290"
112,"Lee JK, Grace KA, Taylor AJ, Lee JK, Grace KA, Taylor AJ. Effect of a pharmacy care program on medication adherence and persistence, blood pressure, and low-density lipoprotein cholesterol: a randomized controlled trial. JAMA: Journal of the American Medical Association. 2006;296: 2563–2571. doi:10.1001/jama.296.21.joc60162"
113,"Leslie RS, Gilmer T, Natarajan L, Hovell M. A Multichannel Medication Adherence Intervention Influences Patient and Prescriber Behavior. J Manag Care Spec Pharm. 2016;22: 526–538. doi:10.18553/jmcp.2016.22.5.526"
114,"Leslie RS, Tirado B, Patel BV, Rein PJ. Evaluation of an integrated adherence program aimed to increase Medicare Part D star rating measures. J Manag Care Spec Pharm. 2014;20: 1193–1203. doi:10.18553/jmcp.2014.20.12.1193"
115,"Li N, Song J, Zhang M, Lv X, Hua H, Chang Y. Impact of medication therapy management (MTM) service model on multi-morbidity (MMD) patients with hypertension: a pilot RCT. BMC geriatrics. 2023;23: 10. doi:10.1186/s12877-023-03725-4"
116,"Li P, McElligott S, Bergquist H, Schwartz JS, Doshi JA. Effect of the Medicare Part D coverage gap on medication use among patients with hypertension and hyperlipidemia. Ann Intern Med. 2012;156: 776–784, W-263, W-264, W-265, W-266, W-267, W-268, W-269. doi:10.7326/0003-4819-156-11-201206050-00004"
117,"Litke J, Spoutz L, Ahlstrom D, Perdew C, Llamas W, Erickson K. Impact of the clinical pharmacy specialist in telehealth primary care. Am J Health Syst Pharm. 2018;75: 982–986. doi:10.2146/ajhp170633"
118,"Liu X, Byrd JB, Rodriguez CJ. Use of physician-recommended non-pharmacological strategies for hypertension control among hypertensive patients. J Clin Hypertens (Greenwich). 2018;20: 518–527. doi:10.1111/jch.13203"
119,"López-Jaramillo P, Barbosa E, Molina DI, Sanchez R, Diaz M, Camacho PA, et al. Latin American Consensus on the management of hypertension in the patient with diabetes and the metabolic syndrome. Journal of Hypertension. 2019;37: 1126–1147. doi:10.1097/HJH.0000000000002072"
120,"Lum ZK, Chang KL, Tsou KY-K, Tan JY, Wong CSM, Kok ZY, et al. Enhancing diabetes care with community pharmacist-involved collaborative care model: A multi-centre randomised controlled trial. Diabetes Research & Clinical Practice. 2022;185: N.PAG-N.PAG. doi:10.1016/j.diabres.2022.109238"
121,"Maeng DD, Graham J, Bogart M, Hao J, Wright EA. Impact of a pharmacist-led diabetes management on outcomes, utilization, and cost. Clin Outcomes Res. 2018;10: 551–562. doi:10.2147/CEOR.S174595"
122,"Magid DJ, Ho PM, Olson KL, Brand DW, Welch LK, Snow KE, et al. A multimodal blood pressure control intervention in 3 healthcare systems. Am J Manag Care. 2011;17: e96-103."
123,"Margolis KL, Kerby TJ, Asche SE, Bergdall AR, Maciosek MV, O’Connor PJ, et al. Design and rationale for Home Blood Pressure Telemonitoring and Case Management to Control Hypertension (HyperLink): a cluster randomized trial. Contemp Clin Trials. 2012;33: 794–803. doi:10.1016/j.cct.2012.03.014"
124,"Margolis K, Asche S, Bergdall A, Dehmer S, Groen S, Kadrmas H, et al. Effect of home blood pressure telemonitoring and pharmacist management on blood pressure control: a cluster randomized clinical trial. JAMA. 2013;310: 46‐56. doi:10.1001/jama.2013.6549"
125,"Margolis K, Asche S, Bergdall A, Dehmer S, Maciosek M, Nyboer R, et al. A Successful Multifaceted Trial to Improve Hypertension Control in Primary Care: why Did it Work? Journal of general internal medicine. 2015;30: 1665‐1672. doi:10.1007/s11606-015-3355-x"
126,McAdam-Marx C. Economic implications with newer agents to reduce cardiovascular risk in diabetes. Am J Manag Care. 2018;24: S279–S285.
127,"McAlister F, Majumdar S, Padwal R, Fradette M, Thompson A, Buck B, et al. Case management for blood pressure and lipid level control after minor stroke: PREVENTION randomized controlled trial. CMAJ : Canadian Medical Association journal. 2014;186: 577‐584. doi:10.1503/cmaj.140053"
128,"McNaughton CD, Brown NJ, Rothman RL, Liu D, Kabagambe EK, Levy PD, et al. Systolic Blood Pressure and Biochemical Assessment of Adherence: A Cross-Sectional Analysis in the Emergency Department. Hypertension. 2017;70: 307–314. doi:10.1161/HYPERTENSIONAHA.117.09659"
129,"McNeil M. Metabolic Syndrome Monitoring: Efficacy of an Educational Intervention on Knowledge, Attitude and Monitoring Behaviors of Outpatient Psychiatric Providers...28th Annual Scientific Session, June 2-6, 2017, Baltimore, Maryland. Nursing Research. 2016;65: E38–E38. doi:10.1097/NNR.0000000000000152"
130,"Mehanna M, Wang Z, Gong Y, McDonough CW, Beitelshees AL, Gums JG, et al. Plasma Renin Activity Is a Predictive Biomarker of Blood Pressure Response in European but not in African Americans With Uncomplicated Hypertension. Am J Hypertens. 2019;32: 668–675. doi:10.1093/ajh/hpz022"
131,"MIGLIOZZI DR, ZULLO AR, COLLINS C, ELSAID KA. Achieving blood pressure control among renal transplant recipients by integrating electronic health technology and clinical pharmacy services. American Journal of Health-System Pharmacy. 2015;72: 1987–1992. doi:10.2146/ajhp140810"
132,"Mills KT, Peacock E, Chen J, Zimmerman A, Brooks K, He H, et al. Implementation of Multifaceted Patient-Centered Treatment Strategies for Intensive Blood Pressure Control (IMPACTS): Rationale and design of a  cluster-randomized trial. Am Heart J. 2020;230: 13–24. doi:10.1016/j.ahj.2020.08.009"
133,"Min L, Cigolle CT, Bernstein SJ, Ward K, Moore TL, Ha J, et al. Diabetes care improvement in pharmacist- versus nurse-supported patient-centered medical homes. Am J Manag Care. 2017;23: e374–e381."
134,"Moffett BS, Penny DJ. Variability in Treatment of Post-coarctectomy Hypertension: A Multicenter Study. Pediatr Cardiol. 2016;37: 772–777. doi:10.1007/s00246-016-1349-z"
135,"Moise N, Schwartz J, Bring R, Shimbo D, Kronish IM. Antihypertensive drug class and adherence: an electronic monitoring study. Am J Hypertens. 2015;28: 717–721. doi:10.1093/ajh/hpu199"
136,"Monane M, Gurwitz JH, Bohn RL, Glynn RJ, Levin R, Monette J, et al. The impact of thiazide diuretics on the initiation of lipid-reducing agents in older people: a population-based analysis... presented, in part, at the 1995 Annual Meeting of the American Society of Clinical Pharmacology and Therapeutics, San Diego, California, March 1995. Journal of the American Geriatrics Society. 1997; 71–75."
137,"Moore GD, Kosirog ER, Vande Griend JP, Freund JE, Saseen JJ. Expansion of clinical pharmacist positions through sustainable funding. Am J Health Syst Pharm. 2018;75: 978–981. doi:10.2146/ajhp170285"
138,"Moreira GC, Cipullo JP, Martin JF, Ciorlia LA, Godoy MR, Cesarino CB, et al. Evaluation of the awareness, control and cost-effectiveness of hypertension treatment in a Brazilian city: populational study. Journal of Hypertension. 2009;27: 1900–1907. doi:10.1097/HJH.0b013e32832dd10f"
139,"Neto P, Marusic S, de Lyra Júnior D, Pilger D, Cruciol-Souza J, Gaeti W, et al. Effect of a 36-month pharmaceutical care program on the coronary heart disease risk in elderly diabetic and hypertensive patients. Journal of pharmacy & pharmaceutical sciences. 2011;14: 249‐263. doi:10.18433/j3259q"
140,"Newman TV, Hernandez I, Keyser D, San-Juan-Rodriguez A, Swart ECS, Shrank WH, et al. Optimizing the Role of Community Pharmacists in Managing the Health of Populations: Barriers, Facilitators, and Policy Recommendations. J Manag Care Spec Pharm. 2019;25: 995–1000. doi:10.18553/jmcp.2019.25.9.995"
141,"Nguyen T, Wong E, Ciummo F. Polypharmacy in Older Adults: Practical Applications Alongside a Patient Case. Journal for Nurse Practitioners. 2020;16: 205–209. doi:10.1016/j.nurpra.2019.11.017"
142,"Nichols-English GJ, Provost M, Koompalum D, Chen H, Athar M. Strategies for pharmacists in the implementation of diabetes mellitus management programs: New roles in primary and collaborative care. Dis Manage Health Outcomes. 2002;10: 783–803."
143,"Njonkou G, Gbadamosi K, Muhammad S, Chughtai I, Le G, Fabayo A, et al. Assessment of the Impact of Pharmacist-led Transitions of Care Services in a Primary Health Center. Hospital Pharmacy. 2021;56: 187–190. doi:10.1177/0018578719883805"
144,"Nuffer W, McCollum M, Ellis SL, Turner CJ. Further development of pharmacy student-facilitated diabetes management clinics. Am J Pharm Educ. 2012;76: 50. doi:10.5688/ajpe76350"
145,"O’Connell J, Reid M, Rockell J, Harty K, Perraillon M, Manson S. Patient Outcomes Associated With Utilization of Education, Case Management, and Advanced Practice Pharmacy Services by American Indian and Alaska Native Peoples  With Diabetes. Med Care. 2021;59: 477–486. doi:10.1097/MLR.0000000000001521"
146,"Obreli-Neto P, Marusic S, Guidoni C, Baldoni Ade O, Renovato R, Pilger D, et al. Economic evaluation of a pharmaceutical care program for elderly diabetic and hypertensive patients in primary health care: a 36-month randomized controlled clinical trial. Journal of managed care & specialty pharmacy. 2015;21: 66‐75. doi:10.18553/jmcp.2015.21.1.66"
147,"Ohkuma T, Jun M, Rodgers A, Cooper M, Glasziou P, Hamet P, et al. Acute Increases in Serum Creatinine After Starting Angiotensin-Converting Enzyme Inhibitor-Based Therapy and Effects of its Continuation on Major Clinical Outcomes in Type 2 Diabetes Mellitus. Hypertension (dallas, tex : 1979). 2019;73: 84‐91. doi:10.1161/HYPERTENSIONAHA.118.12060"
148,"Östbring M, Eriksson T, Petersson G, Hellström L. Effects of a pharmaceutical care intervention on clinical outcomes and patient adherence in coronary heart disease: the MIMeRiC randomized controlled trial. BMC cardiovascular disorders. 2021;21: 367. doi:10.1186/s12872-021-02178-0"
149,"Overwyk KJ, Dehmer SP, Roy K, Maciosek MV, Hong Y, Baker-Goering MM, et al. Modeling the Health and Budgetary Impacts of a Team-based Hypertension Care Intervention That Includes Pharmacists. Med Care. 2019;57: 882–889. doi:10.1097/MLR.0000000000001213"
150,"Owsley C, Rhodes LA, McGwin GJ, Mennemeyer ST, Bregantini M, Patel N, et al. Eye Care Quality and Accessibility Improvement in the Community (EQUALITY) for adults at risk for glaucoma: study rationale and design. Int J Equity Health. 2015;14: 135. doi:10.1186/s12939-015-0213-8"
151,"Oyetayo OO, James C, Martinez A, Roberson K, Talbert RL. The Hispanic Diabetes Management Program: Impact of community pharmacists on clinical outcomes. J Am Pharm Assoc (2003). 2011;51: 623–626. doi:10.1331/JAPhA.2011.09229"
152,"Palacio A, Chen J, Tamariz L, Garay SD, Li H, Carrasquillo O. Impact of a physician-led point of care medication delivery system on medication adherence. Am J Manag Care. 2016;22: e264-269."
153,"Park H, Adeyemi A, Wang W, Roane TE. Impact of a telephonic outreach program on medication adherence in Medicare Advantage Prescription Drug (MAPD) plan beneficiaries. J Am Pharm Assoc (2003). 2017;57: 62-66.e2. doi:10.1016/j.japh.2016.07.006"
154,"Patel RP, Taylor SD, Patel RP, Taylor SD. Factors affecting medication adherence in hypertensive patients. Annals of Pharmacotherapy. 2002;36: 40–45."
155,"Peasah SK, Hammonds T, Liu Y, Campbell V, Manolis C, Good CB. Economic assessment of changes to an existing medication therapy management program of a large regional health plan. J Manag Care Spec Pharm. 2021;27: 147–156. doi:10.18553/jmcp.2021.27.2.147"
156,"Pepper MJ, Mallory N, Coker TN, Chaki A, Sando KR. Pharmacists’ impact on improving outcomes in patients with type 2 diabetes mellitus. Diabetes Educ. 2012;38: 409–416. doi:10.1177/0145721712443291"
157,"Peralta C, Frigaard M, Rubinsky A, Rolon L, Lo L, Voora S, et al. Implementation of a pragmatic randomized trial of screening for chronic kidney disease to improve care among non-diabetic hypertensive veterans. BMC nephrology. 2017;18: 132. doi:10.1186/s12882-017-0541-6"
158,"Persell S, Eder M, Friesema E, Connor C, Rademaker A, French D, et al. EHR-based medication support and nurse-led medication therapy management: rationale and design for a three-arm clinic randomized trial. Journal of the American Heart Association. 2013;2: e000311. doi:10.1161/JAHA.113.000311"
159,"Persell S, Karmali K, Lazar D, Friesema E, Lee J, Rademaker A, et al. Effect of Electronic Health Record-Based Medication Support and Nurse-Led Medication Therapy Management on Hypertension and Medication Self-management: a Randomized Clinical Trial. JAMA internal medicine. 2018;178: 1069‐1077. doi:10.1001/jamainternmed.2018.2372"
160,"Petersen L, Simpson K, Pietz K, Urech T, Hysong S, Profit J, et al. Effects of individual physician-level and practice-level financial incentives on hypertension care: a randomized trial. JAMA. 2013;310: 1042‐1050. doi:10.1001/jama.2013.276303"
161,"Pinto S, Holl S. Improving access-to-care leads to optimal outcomes in pharmacist-led medication therapy management (MTM) program. Value Health. 2010;13: A82. doi:10.1016/S1098-3015(10)72387-1"
162,"Pinto SL, Kumar J, Partha G, Bechtol RA. Pharmacist-Provided Medication Therapy Management (MTM) Program Impacts Outcomes for Employees with Diabetes. Population Health Management. 2014;17: 21–27. doi:10.1089/pop.2012.0124"
163,"Planas L, Crosby K, Farmer K, Harrison D. Evaluation of a diabetes management program using selected HEDIS measures. Journal of the American Pharmacists Association : JAPhA. 2012;52: e130‐8. doi:10.1331/JAPhA.2012.11148"
164,"Porter AC, Fitzgibbon ML, Fischer MJ, Gallardo R, Berbaum ML, Lash JP, et al. Rationale and design of a patient-centered medical home intervention for patients with end-stage renal disease on hemodialysis. Contemp Clin Trials. 2015;42: 1–8. doi:10.1016/j.cct.2015.02.006"
165,"Prendergast H, Del Rios M, Petzel-Gimbar R, Garside D, Heinert S, Escobar-Schulz S, et al. A hypertension emergency department intervention aimed at decreasing disparities: design of a randomized clinical trial. Contemporary clinical trials. 2018;64: 1‐7. doi:10.1016/j.cct.2017.11.009"
166,"Quinones ME, Pio MY, Chow DH, Moss E, Hulstein JL, Boatright SM, et al. Impact of clinical pharmacy services on outcomes and costs for indigent patients with diabetes. Am J Manag Care. 2016;22: e147-152."
167,"Ramalho de Oliveira D, Brummel AR, Miller DB. Medication therapy management: 10 years of experience in a large integrated health care system. J Manag Care Pharm. 2010;16: 185–195. doi:10.18553/jmcp.2010.16.3.185"
168,"Rodis JL, Sevin A, Awad MH, Porter B, Glasgow K, Hornbeck Fox C, et al. Improving Chronic Disease Outcomes Through Medication Therapy Management in Federally Qualified Health Centers. Journal of Primary Care & Community Health. 2017;8: 324–331. doi:10.1177/2150131917701797"
169,"Rodriguez de Bittner M, Chirikov VV, Breunig IM, Zaghab RW, Shaya FT. Clinical effectiveness and cost savings in diabetes care, supported by pharmacist counselling. J Am Pharm Assoc (2003). 2017;57: 102-108.e4. doi:10.1016/j.japh.2016.08.010"
170,"Ross LA, Bloodworth LS, Brown MA, Malinowski SS, Crane R, Sutton V, et al. The Mississippi Delta Health Collaborative Medication Therapy Management Model: Public Health and Pharmacy Working Together to Improve Population Health in the  Mississippi Delta. Prev Chronic Dis. 2020;17: E108. doi:10.5888/pcd17.200063"
171,"Roustit M, Chaumais M, Chapuis C, Gairard-Dory A, Hadjadj C, Chanoine S, et al. Evaluation of a collaborative care program for pulmonary hypertension patients: a multicenter randomized trial. International journal of clinical pharmacy. 2020;42: 1128‐1138. doi:10.1007/s11096-020-01047-8"
172,"Ryu R, Tran H, Bahjri K. Association of Sacubitril/Valsartan with Metabolic Parameters in Patients with Reduced Ejection Fraction Heart Failure at a Multidisciplinary Clinic. Metab Syndr Relat Disord. 2021;19: 115–118. doi:10.1089/met.2020.0100"
173,"Santolucito PA, Tighe DA, McManus DD, Yarzebski J, Lessard D, Gore JM, et al. Management and outcomes of renal disease and acute myocardial infarction. Am J Med. 2010;123: 847–855. doi:10.1016/j.amjmed.2010.04.025"
174,"Santschi V, Wuerzner G, Chiolero A, Burnand B, Schaller P, Cloutier L, et al. Team-based care for improving hypertension management among outpatients (TBC-HTA): study protocol for a pragmatic randomized controlled trial. BMC cardiovascular disorders. 2017;17: 39. doi:10.1186/s12872-017-0472-y"
175,"Schultz BG, Tilton J, Jun J, Scott-Horton T, Quach D, Touchette DR. Cost-Effectiveness Analysis of a Pharmacist-Led Medication Therapy Management Program: Hypertension Management. Value Health. 2021;24: 522–529. doi:10.1016/j.jval.2020.10.008"
176,"Sease JM, Franklin MA, Gerrald KR. Pharmacist management of patients with diabetes mellitus enrolled in a rural free clinic. Am J Health Syst Pharm. 2013;70: 43–47. doi:10.2146/ajhp120221"
177,"Selak V, Elley C, Bullen C, Crengle S, Wadham A, Rafter N, et al. Effect of fixed dose combination treatment on adherence and risk factor control among patients at high risk of cardiovascular disease: randomised controlled trial in primary care. BMJ (Clinical research ed). 2014;348: g3318. doi:10.1136/bmj.g3318"
178,"Shah SJ, Stafford RS. Current Trends of Hypertension Treatment in the United States. Am J Hypertens. 2017;30: 1008–1014. doi:10.1093/ajh/hpx085"
179,"Shane-McWhorter L, McAdam-Marx C, Lenert L, Petersen M, Woolsey S, Coursey JM, et al. Pharmacist-provided diabetes management and education via a telemonitoring program. J Am Pharm Assoc (2003). 2015;55: 516–526. doi:10.1331/JAPhA.2015.14285"
180,"Shirneshan E, Kyrychenko P, Matlin OS, Avila JP, Brennan TA, Shrank WH. Impact of a transition to more restrictive drug formulary on therapy discontinuation and medication adherence. Journal of Clinical Pharmacy & Therapeutics. 2016;41: 64–69. doi:10.1111/jcpt.12349"
181,"Shujuan Zhao, Hongwei Zhao, Song Du, Yuhua Qin. The impact of clinical pharmacist support on patients receiving multi-drug therapy for coronary heart disease in China: a long-term follow-up study. European Journal of Hospital Pharmacy. 2015;22: 323–327. doi:10.1136/ejhpharm-2014-000632"
182,"Siaw M, Ko Y, Malone D, Tsou K, Lew Y, Foo D, et al. Impact of pharmacist-involved collaborative care on the clinical, humanistic and cost outcomes of high-risk patients with type 2 diabetes (IMPACT): a randomized controlled trial. Journal of clinical pharmacy and therapeutics. 2017;42: 475‐482. doi:10.1111/jcpt.12536"
183,"Simonson W, Han LF, Davidson HE. Hypertension treatment and outcomes in US nursing homes: results from the US National Nursing Home Survey. J Am Med Dir Assoc. 2011;12: 44–49. doi:10.1016/j.jamda.2010.02.009"
184,"Smith J, Hillman L, Drawz P. Pharmacist-based antihypertensive medication review and assignment of morning versus evening dosing of once-daily antihypertensive medications: a pilot study to assess feasibility and efficacy in chronic kidney disease patients. Clinical and experimental hypertension (New York, NY : 1993). 2018;40: 569‐573. doi:10.1080/10641963.2017.1411493"
185,"Smith S, Carris N, Dietrich E, Gums J, Uribe L, Coffey C, et al. Physician-pharmacist collaboration versus usual care for treatment-resistant hypertension. Journal of the American Society of Hypertension : JASH. 2016;10: 307‐317. doi:10.1016/j.jash.2016.01.010"
186,"Smith SM, Hasan M, Huebschmann AG, Penaloza R, Schorr-Ratzlaff W, Sieja A, et al. Physician Acceptance of a Physician-Pharmacist Collaborative Treatment Model for Hypertension Management in Primary Care. J Clin Hypertens (Greenwich). 2015;17: 686–691. doi:10.1111/jch.12575"
187,"Soong K, Zlokas DA, Tyagi S, Hodes DZ, Gennari A, Ruby CM. Impact of a pharmacist as a member of an interprofessional team to identify and reduce medication related problems during transitions of care from skilled nursing facilities (SNFs) to home. Pharmacotherapy. 2011;31: 426e."
188,"St Peter WL, Sozio SM, Shafi T, Ephraim PL, Luly J, McDermott A, et al. Patterns in blood pressure medication use in US incident dialysis patients over the first 6 months. BMC Nephrol. 2013;14: 249. doi:10.1186/1471-2369-14-249"
189,"Stange D, Kriston L, von-Wolff A, Baehr M, Dartsch D. Reducing cardiovascular medication complexity in a German university hospital: effects of a structured pharmaceutical management intervention on adherence. Journal of managed care pharmacy. 2013;19: 396‐407. doi:10.18553/jmcp.2013.19.5.396"
190,"Steele KM, Ruisinger JF, Bates J, Prohaska ES, Melton BL, Hipp S. Home-Based Comprehensive Medication Reviews: Pharmacist’s Impact on Drug Therapy Problems in Geriatric Patients. Consult Pharm. 2016;31: 598–605. doi:10.4140/TCP.n.2016.598"
191,"Steve Tsang CC, Browning J, Todor L, Dougherty S, Hohmeier KC, Sam Li M, et al. Factors associated with medication nonadherence among Medicare low-income subsidy beneficiaries with diabetes, hypertension, and/or heart failure. J Manag Care Spec Pharm. 2021;27: 971–981. doi:10.18553/jmcp.2021.27.8.971"
192,"Sun T, Xu Y, Xie H, Ma Z, Wang Y. Intelligent personalized exercise prescription based on an ehealth promotion system to improve health outcomes of middle-aged and older adult community dwellers: pretest-posttest study. Journal of medical Internet research. 2021;23: e28221. doi:10.2196/28221"
193,"Svarstad BL, Kotchen JM, Shireman TI, Brown RL, Crawford SY, Mount JK, et al. Improving refill adherence and hypertension control in black patients: Wisconsin TEAM trial. J Am Pharm Assoc (2003). 2013;53: 520–529. doi:10.1331/JAPhA.2013.12246"
194,"Thompson H, Swander L, Cohen R, Lukazewski A, Bartholow T, Pesik M, et al. Hypertension-Focused Medication Therapy Management: A Collaborative Pilot Program Uniting Pharmacists, Public Health, and Health Insurers in Wisconsin. Prev Chronic Dis. 2020;17: E105. doi:10.5888/pcd17.200058"
195,"Tobari H, Arimoto T, Shimojo N, Yuhara K, Noda H, Yamagishi K, et al. Physician-pharmacist cooperation program for blood pressure control in patients with hypertension: a randomized-controlled trial. American journal of hypertension. 2010;23: 1144‐1152. doi:10.1038/ajh.2010.127"
196,"Townsend RR, Epstein M. Resistant Hypertension: Insights on Evaluation and Management in the Post-SPRINT (Systolic Blood Pressure Intervention Trial) Era. Hypertension. 2016;68: 1073–1080. doi:10.1161/HYPERTENSIONAHA.116.07316"
197,"Tuttle KR, Alicic RZ, Short RA, Neumiller JJ, Gates BJ, Daratha KB, et al. Medication therapy management after hospitalization in CKD: A randomized clinical trial. Clin J Am Soc Nephrol. 2018;13: 231–241. doi:10.2215/CJN.06790617"
198,"Vande Griend JP, Saseen JJ, Sullivan KJ, Anderson HD. Identifying patients likely to be referred for a clinical pharmacist intervention in a family medicine residency-training clinic. JACCP JAm Coll Clin Pharm. 2019;2: 131–136. doi:10.1002/jac5.1047"
199,"Varleta P, Acevedo M, Akel C, Salinas C, Navarrete C, García A, et al. Mobile phone text messaging improves antihypertensive drug adherence in the community. Journal of clinical hypertension (Greenwich, Conn). 2017;19: 1276‐1284. doi:10.1111/jch.13098"
200,Verme-Gibboney C. Oral angiotensin-converting-enzyme inhibitors. American Journal of Health-System Pharmacy. 1997;54: 2689–2703.
201,"Victor RG, Blyler CA, Li N, Lynch K, Moy NB, Rashid M, et al. Sustainability of Blood Pressure Reduction in Black Barbershops. Circulation. 2019;139: 10–19. doi:10.1161/CIRCULATIONAHA.118.038165"
202,"Viswanathan M, Golin CE, Jones CD, Ashok M, Blalock S, Wines RCM, et al. Closing the quality gap: revisiting the state of the science (vol. 4: medication adherence interventions: comparative effectiveness). Evid Rep Technol Assess (Full Rep). 2012; 1–685."
203,"Von Korff M, Katon WJ, Lin EHB, Ciechanowski P, Peterson D, Ludman EJ, et al. Functional outcomes of multi-condition collaborative care and successful ageing: results of randomised trial. BMJ. 2011;343: d6612. doi:10.1136/bmj.d6612"
204,"Wassertheil-Smoller S, Blaufox MD, Oberman A, Davis BR, Swencionis C, Knerr MO, et al. Effect of antihypertensives on sexual function and quality of life: the TAIM Study. Annals of Internal Medicine. 1991;114: 613–620. doi:10.7326/0003-4819-114-8-613"
205,"Wehling M, Burkhardt H, Kuhn-Thiel A, Pazan F, Throm C, Weiss C, et al. VALFORTA: a randomised trial to validate the FORTA (Fit fOR The Aged) classification. Age and ageing. 2016;45: 262‐267. doi:10.1093/ageing/afv200"
206,"Wentzlaff D, Carter B, Ardery G, Franciscus C, Doucette W, Chrischilles E, et al. Sustained Blood Pressure Control Following Discontinuation of a Pharmacist Intervention. Journal of clinical hypertension (Greenwich, Conn). 2011;13: 431‐437. doi:10.1111/j.1751-7176.2011.00435.x"
207,"Wertz D, Hou L, DeVries A, Dupclay LJ, McGowan F, Malinowski B, et al. Clinical and economic outcomes of the Cincinnati Pharmacy Coaching Program for diabetes and hypertension. Manag Care. 2012;21: 44–54."
208,"Whalen E, Ely E, Brown A. The role of a multidisciplinary team in a pediatric pulmonary hypertension center. Pediatr Pulmonol. 2021;56: 630–635. doi:10.1002/ppul.24761"
209,"Wittayanukorn S, Westrick SC, Hansen RA, Billor N, Braxton-Lloyd K, Fox BI, et al. Evaluation of medication therapy management services for patients with cardiovascular disease in a self-insured employer health plan. J Manag Care Pharm. 2013;19: 385–395. doi:10.18553/jmcp.2013.19.5.385"
210,"Wu W-C, Taveira TH, Jeffery S, Jiang L, Tokuda L, Musial J, et al. Costs and effectiveness of pharmacist-led group medical visits for type-2 diabetes: A multi-center randomized controlled trial. PLoS One. 2018;13: e0195898. doi:10.1371/journal.pone.0195898"
211,"Yoon J, Wu F, Chang E. Impact of primary care intensive management on medication adherence and adjustments. Am J Manag Care. 2020;26: e239–e245. doi:10.37765/ajmc.2020.44073"
212,"Yu J, Shah BM, Ip EJ, Chan J. A Markov model of the cost-effectiveness of pharmacist care for diabetes in prevention of cardiovascular diseases: evidence from Kaiser Permanente Northern  California. J Manag Care Pharm. 2013;19: 102–114. doi:10.18553/jmcp.2013.19.2.102"
213,"Zeller A, Schroeder K, Peters TJ. Electronic pillboxes (MEMS) to assess the relationship between medication adherence and blood pressure control in primary care. Scandinavian Journal of Primary Health Care. 2007;25: 202–207. doi:10.1080/02813430701651954"
214,"Zhai P, Hayat K, Ji W, Li Q, Shi L, Atif N, et al. Efficacy of Text Messaging and Personal Consultation by Pharmacy Students Among Adults With Hypertension: Randomized Controlled Trial. Journal of Medical Internet Research. 2020;22: N.PAG-N.PAG. doi:10.2196/16019"
215,"Zhang D, Ritchey MR, Park C, Li J, Chapel J, Wang G. Association Between Medicaid Coverage and Income Status on Health Care Use and Costs Among Hypertensive Adults After Enactment of the Affordable Care Act. Am J Hypertens. 2019;32: 1030–1038. doi:10.1093/ajh/hpz101"
216,"Zullig L, Melnyk S, Stechuchak K, McCant F, Danus S, Oddone E, et al. The Cardiovascular Intervention Improvement Telemedicine Study (CITIES): rationale for a tailored behavioral and educational pharmacist-administered intervention for achieving cardiovascular disease risk reduction. Telemedicine journal and e-health. 2014;20: 135‐143. doi:10.1089/tmj.2013.0145"
217,"Zullig L, Stechuchak K, Goldstein K, Olsen M, McCant F, Danus S, et al. Patient-reported medication adherence barriers among patients with cardiovascular risk factors. Journal of managed care & specialty pharmacy. 2015;21: 479‐485. doi:10.18553/jmcp.2015.21.6.479"