article_id,Rater,Include
92023981,saweber,TRUE
92023981,devinl,FALSE
92023982,saweber,FALSE
92023982,devinl,FALSE
92023983,saweber,FALSE
92023983,devinl,FALSE
92023984,saweber,FALSE
92023984,devinl,TRUE
92023985,saweber,TRUE
92023985,devinl,TRUE
92023986,saweber,TRUE
92023986,devinl,TRUE
92023987,saweber,FALSE
92023987,devinl,TRUE
92023988,saweber,TRUE
92023988,devinl,TRUE
92023989,saweber,FALSE
92023989,devinl,TRUE
92023990,saweber,TRUE
92023990,devinl,TRUE
92023991,saweber,TRUE
92023991,devinl,TRUE
92023992,saweber,TRUE
92023992,devinl,TRUE
92023993,saweber,TRUE
92023993,devinl,TRUE
92023994,saweber,TRUE
92023994,devinl,TRUE
92023995,saweber,FALSE
92023995,devinl,TRUE
92023996,saweber,FALSE
92023996,devinl,FALSE
92023997,saweber,FALSE
92023997,devinl,TRUE
92023998,saweber,FALSE
92023998,devinl,FALSE
92023999,saweber,TRUE
92023999,devinl,TRUE
92024000,saweber,FALSE
92024000,devinl,FALSE
92024001,saweber,FALSE
92024001,devinl,TRUE
92024002,saweber,TRUE
92024002,devinl,TRUE